exercise_id,exercise_name,group,video_url,review_status
leap_dumbbell_butt_bridge,Dumbbell Butt Bridge,Dumbbell,https://www.youtube.com/watch?v=6gGzYaD9Cb4,needs_human_review
leap_lying_knee_hug,Lying Knee Hug,Core & Abs,https://www.youtube.com/watch?v=tT7W-F28TXo,needs_human_review
leap_butterfly_bridge,Butterfly Bridge,Glutes & Hips,https://www.youtube.com/watch?v=sJC_fMOVZVw,needs_human_review
leap_dumbbell_hip_bridge_leg_lift,Dumbbell Hip Bridge & Leg Lift,Dumbbell,https://www.youtube.com/watch?v=o_g6vKfkREI,needs_human_review
leap_marchin_hip_raises,Marchin Hip Raises,Glutes & Hips,https://www.youtube.com/watch?v=lD8TZAPjfLk,needs_human_review
leap_dumbbell_single_arm_fly,Dumbbell Single Arm Fly,Dumbbell,https://www.youtube.com/watch?v=VzahmWiMbLI,needs_human_review
leap_toe_tap,Toe Tap,Core & Abs,https://www.youtube.com/watch?v=SmsSb_DlOwo,needs_human_review
leap_lips_down_pull,Lips Down Pull,Face & Neck,https://www.youtube.com/watch?v=LXBFKwPbRW4,needs_human_review
leap_dumbbell_single_leg_hip_thrust,Dumbbell Single Leg Hip Thrust,Dumbbell,https://www.youtube.com/watch?v=Jw_rJ6l3aRY,needs_human_review
leap_valley_press,Valley Press,Push-ups & Pressing,https://www.youtube.com/watch?v=Az3ZkQzc2pU,needs_human_review
leap_half_bending_pushing_forward,Half Bending Pushing Forward,Other,https://www.youtube.com/watch?v=ABSbePQDruk,needs_human_review
leap_dumbbell_upright_row,Dumbbell Upright-Row,Dumbbell,https://www.youtube.com/watch?v=8ywEQiJuBNg,needs_human_review
leap_bent_over_dumbbell_rows,Bent Over Dumbbell Rows,Dumbbell,https://www.youtube.com/watch?v=6YfpfLvUa5w,needs_human_review
leap_dumbbell_kickbacks,Dumbbell Kickbacks,Dumbbell,https://www.youtube.com/watch?v=3ao9J4vvEXA,needs_human_review
leap_dumbbell_donkey_kicks,Dumbbell Donkey Kicks,Dumbbell,https://www.youtube.com/watch?v=pd3KyzQS5nc,needs_human_review
